no,date,name,scale,amount,indicator,address,price,total,company
WS-S-20160115-00003,2016/1/14,无锡地铁3号线一期工程系统设计02标,大型,28.49,996.84万元/千米,无锡,1044,28400,北京城建设计发展集团股份有限公司
WS-S-20151021-00165,2016/1/18,无锡地铁1号线南延线工程系统设计03标,大型,4.6,2848.17,无锡,262,13101.57,北京城建设计发展集团股份有限公司
WS-S-20160311-00027,2016/3/10,XDG(XQ)-2013-5号房地产开发项目阿卡迪亚东地块室外市政工程,小型,400,新建城市支路,无锡市新区,26.6,675,中国华西工程设计建设有限公司
WS-S-20160120-00007,2016/1/18,广丰尤岸里地块拆迁安置房三期室外市政工程,小型,1651,新建城市支路,无锡市崇安区,30,988.11,中国华西工程设计建设有限公司
WS-S-20160120-00006,2016/1/18,锡州路西段等道路工程设计,小型,1234,新建城市支路,无锡市崇安区,74.52,13843.66,中国华西工程设计建设有限公司
WS-S-20160129-00012,2016/1/29,振奋路(上马墩路—锡州路)改扩建工程项目设计,小型,888,新建城市支路,无锡市崇安区,42.41,1882.48,中国华西工程设计建设有限公司
