no,date,name,scale,amount,indicator,address,price,total,company
WS-K-20160128-00001,2016/1/27,锡州路西段工程勘察,小型,1234,新建城市支路,无锡市崇安区,1.73,13843.66,中国华西工程设计建设有限公司
WS-K-20160202-00002,2016/2/2,500千伏宜兴东输变电工程(勘察）,大型,1,1*1000MVA,江苏省宜兴市,251.05,33760,中国电力工程顾问集团华东电力设计院有限公司
WS-K-20160317-00004,2016/3/16,明发国际新城商品房项目,大型,580469,合格,江苏省-无锡市-惠山区-堰桥街道-陈家桥社区,87,124864,中国兵器工业北方勘察设计研究院有限公司
WS-K-20160202-00003,2016/2/2,振奋路(上马墩路—锡州路)改扩建工程项目勘察,小型,888,新建城市支路,无锡市崇安区,3.57,1882.78,中国华西工程设计建设有限公司
